DATE,TRANSFER_ORDER,TO_LINE,TO_TIME,DELIVERY_NO,TIME_PICK_COMPLETED,INVOICE_NUMBER,SKU,QTY,CUSTOMER,ADDRESS,STORAGE_BIN,,,,,,,,,,,
2-Jul,439958,8,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34116,288,20004055,HCM,C09-05-01,,,,,,,,,,,
2-Jul,439958,9,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34116,240,20004055,HCM,C09-05-01,,,,,,,,,,,
2-Jul,439958,10,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34120,288,20004055,HCM,C11-05-01,,,,,,,,,,,
2-Jul,439958,11,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34120,360,20004055,HCM,C11-05-01,,,,,,,,,,,
2-Jul,439958,12,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34120,240,20004055,HCM,C11-05-01,,,,,,,,,,,
2-Jul,439958,13,9:12 AM,6414149055,9:25 AM,11360,AEZ9R36240,60,20004055,HCM,D08-05-01,,,,,,,,,,,
2-Jul,439959,1,9:12 AM,6414149057,9:25 AM,11362,ARXM2AB2BD,15,20004055,HCM,B07-04-01,,,,,,,,,,,
2-Jul,439959,2,9:12 AM,6414149057,9:25 AM,11362,AA9L65601,1,20004055,HCM,H07-04-04,,,,,,,,,,,
2-Jul,439960,3,9:12 AM,6414149057,9:25 AM,11362,AE426UEST2_T_G19,45,20004055,HCM,G04-08-01,,,,,,,,,,,
2-Jul,439960,4,9:12 AM,6414149057,9:25 AM,11362,AE426UEST2_T_G19,180,20004055,HCM,G04-08-01,,,,,,,,,,,
2-Jul,439961,1,9:21 AM,6414149079,9:25 AM,11364,A35AVH_G19,5,20004055,HCM,G13-04-03,,,,,,,,,,,
2-Jul,439961,2,9:21 AM,6414149079,9:25 AM,11364,AWHT80_GY,2,20004055,HCM,H04-02-03,,,,,,,,,,,
2-Jul,439962,3,9:13 AM,6414149058,9:25 AM,11318,AEZ9F34232,240,20004056,HCM,C02-05-02,,,,,,,,,,,
2-Jul,439963,1,10:17 AM,6414149008,9:24 AM,11371,ASR2B121FU,1,20004054,BINH DUONG,J05-03-05,,,,,,,,,,,
2-Jul,439964,1,10:18 AM,6414149011,9:24 AM,11367,A33209,1,20004043,DA NANG,A03-03-01,,,,,,,,,,,
2-Jul,439964,2,10:18 AM,6414149011,9:24 AM,11367,A47363,2,20004043,DA NANG,B01-02-02,,,,,,,,,,,
2-Jul,439964,3,10:18 AM,6414149011,9:24 AM,11367,A47363,2,20004043,DA NANG,B01-02-02,,,,,,,,,,,
2-Jul,439964,4,10:18 AM,6414149011,9:24 AM,11367,A47363,1,20004043,DA NANG,B01-02-02,,,,,,,,,,,
2-Jul,439964,5,10:18 AM,6414149011,9:24 AM,11367,A48212,2,20004043,DA NANG,C04-01-01,,,,,,,,,,,
2-Jul,439964,6,10:18 AM,6414149011,9:24 AM,11367,AMVS21803,2,20004043,DA NANG,D02-01-01,,,,,,,,,,,
2-Jul,439964,7,10:18 AM,6414149011,9:24 AM,11367,A47926,2,20004043,DA NANG,H06-01-02,,,,,,,,,,,
2-Jul,439965,8,10:18 AM,6414149011,9:24 AM,11367,AMETSEPM5350,2,20004043,DA NANG,A03-07-01,,,,,,,,,,,
2-Jul,439966,9,10:18 AM,6414149011,9:24 AM,11367,AMVS20N4MF2L,1,20004043,DA NANG,E01-07-02,,,,,,,,,,,
2-Jul,439966,10,10:18 AM,6414149011,9:24 AM,11367,AMVS20N4MF2L,1,20004043,DA NANG,E12-08-02,,,,,,,,,,,
2-Jul,439966,11,10:18 AM,6414149011,9:24 AM,11367,AMVS20N3MF2L,1,20004043,DA NANG,E12-09-01,,,,,,,,,,,
2-Jul,439966,12,10:18 AM,6414149011,9:24 AM,11367,ALV432603,1,20004043,DA NANG,F05-02-04,,,,,,,,,,,
2-Jul,439967,1,10:18 AM,6414149012,9:24 AM,11368,ALV432877,1,20004043,DA NANG,A09-01-06,,,,,,,,,,,
